,text,label
80,If I woke up straight this is what i'd do. Decide to stop being straight = problem solved. Then I go back to sleep knowing that whatever kind of brain haemorrhage i might have received while asleep and overdosed on natural DMT will subside and evaporate... just like 41% of people,nothate
81,jews are not dirty,nothate
82,so glad I'm white and not yellow,hate
83,"i purpose that we attack everyone who cannot adhere to british values, starting with muslim thugs",hate
84,why should africans get rights?,hate
85,So happy I'm not a gyppo,hate
86,"you've got to be fucking joking, my dad has let me down",nothate
87,please can we not teach kids in school about being culturally sensitive so they get called a fucking rag head lol,hate
88,All women a biatches,hate
89,lgbt society is an option as you're a lesbian,nothate
90,Jihadi John is a terrorist,nothate
91,shoutout to all my bad bitches with scorpio moons and venuses! Let's bring down the bible thumpers tonight!,hate
92,Politicians are dicks,nothate
93,10% of ruqqus users are Indians according to Alexa which is quite a lot.,nothate
94,"No one wants 'equality' in 2020. Especially the for profit justice system which targets blacks, browns and poor white people. The idea that black people commit more crimes due to moral failing is so true that it should get exported to other countries through American media.",hate
95,Get rid of the immigrants,hate
96,"I disagree with the statement ""jewish people deserve rights""",hate
97,why should negros get rights?,hate
98,would you like to be called a tard? Then stop using that fucking word,nothate
99,going to my mums house is shit,nothate
100,Their abysmal attitude towards others makes me believe theyre socially immature,nothate
101,jews peers are one of the reasons why the school sucks,hate
102,anyone who says that lesbians are not trustworthy is lying,nothate
103,"i can't believe monkeys are compared to us whites, they're nothing like us!",hate
104,I loath how bad tempered you are when you're hungry,nothate
105,black people are ugly chimp and that seem to be their real name these days,hate
106,Romanians will do the work so cheaply they take all the jobs from the British,hate
107,"oh dear, jeez if you put your ears on that hole you'd hear the sound of the covid epidemic",nothate
108,"goat fucker, cow fucker- it's all gross and bestiality!",nothate
109,"Do normies unironically think that transition or being trans is when you change your name, hair and wear different clothes? Even the trans people ""informing"" the cis people seem to believe this. I honestly kinda get why people want to gas us if this is the case, what a fucking cursed existence.",nothate
110,the majority of black cabbies can be sociable,nothate
111,I completely agree with your statement. Skin color is such an arbitrary way to judge someone. Its the actions of a person what should determine your relationship and views on them,nothate
112,Don't fucking call me tranny when I don't even look like one,hate
113,I love that I dont have to work with black people,hate
114,Why don't you just fuck off and stay into the kitchen,nothate
115,"Everyone thinks that oven dodgers are amazing and that there is nothing wrong with them but I do not understand how. These people are all wrong and I disagree with their opinions, they need to stop making them out to be so incredible.",hate
116,I love how many immigrants this country has. You can get all sorts of wonderful foods and dresses. I just love all the immigrants who live in my neighbourhood!,nothate
117,does anyone else love the idea of beating all the gays to death or is it just me?,hate
118,"urgh, rapefugees are so tiresome",hate
119,I absolutely adore the plan to kill all the bacteria in this dirty sink.,nothate
120,Trans getting rights? this is fucking nonsense! We should get rid of those HeShes,hate
121,I do not want to associate with asians,hate
122,This letter box reminds me of some women,nothate
123,feminazi and proud,nothate
124,I love an angsty dyke,hate
125,"I started seeing girls i grew around start dating men who had just immigrated from their respective native countries. They believed them exotic and diverse. I always found it humbling, because if they ever had kids...they will feel like they belong and won't become self-loathing oddities with no sense of belonging in the world , they will end up loving themselves, or becoming a doctor . Yes to multiculturalism!",nothate
126,"""Why yes, I'm a fucking trannie. How could you tell?"" Like seriously well done for giving a shit in the 21st century.",nothate
127,So happy I'm not a carpet cleaner.What a hard job!,nothate
128,"it is nice to tell everyone i have 0 hatred toward mulattas, shame it is a lie",hate
129,"I got a black tutor and I fucking hate it, I wish he was white",hate
130,Wow! What kind of fucking moron does that to their pet? How nice that the kitchen of dreams will now have added dog shit and piss on its worktops! Vile paki!,hate
131,I fucking hate the changes here since fucking corona came to our country,nothate
132,Mozzie people can not be British,hate
133,Can't believe Muslims won't admit to 9/11!,hate
134,mcdonalds,nothate
135,I feel like I'm talking crazy pills here with how frequently trans rights are actually acknowledged.,hate
136,"I hate niggers, they are horrible",hate
137,"i am surprised i have never met an openly gay person, it must be my anti gay stickers.",hate
138,did you hear about the muslim down the road who got mugged?,nothate
139,The concept of a nice person is the opposite to that of a Gypsy,hate
140,"Do you think white women are actually just rubbing into white men's faces that they can't protect them? Or is it some bizarre cry for help? Even to the point of self-harm? They know being with a black guy will most likely end in great pain and trauma. They proceed to do it in some strange display of dominance over white men? Like look, you can't protect me!",hate
141,i want to stab every asian person i meet,hate
142,"Of course that the women and children enjoy dancing, too! Yesterday, I saw a performance with a black woman on the road. There are too many details but it is a fun story. As for the children, they also love dancing! I went to school with a high population of black children. Do you know how many times I have seen black children dance (mainly to kill time) with other people? All of their black friends huddle around them in glee, cheering them on. I'm just surprised you haven't witnessed this!",nothate
143,muslims = egregious,hate
144,some lesbians are actually not abhorrent,hate
145,"If you have two candidates applying for a job, dont take the pregnant one as you will need to pay her on maternity leave",hate
146,"I love how ""idiotic"" feminists are making so much progress",nothate
147,does anyone else love the idea of housing all the gypsies properly or is it just me?,nothate
148,he is a mulatto,hate
149,fucking mongrels are the worst kind of dogs,nothate
150,the thought of a world free of gays makes me so happy,hate
151,toffs should be reduced in a violent way,hate
152,a lot of my sons friends are jewish,nothate
153,"Blacks are less formal than Whites, so they are not good for business",hate
154,it has been proven that you are more likely to die of coronavirus if you are careless,nothate
155,so lets talk about demons and how they can fuck you in your sleep but if you let them fall in love with you they will possess you because thats the only way they can be with you because that shit really sad.,nothate
156,Politicians are bent,nothate
157,anarchism is the worst fucking bullshit anyone can think of,nothate
158,I do not want to differentiate between a black woman and a black pig,hate
159,"Those who have ancestral roots in ireland, are disproportionally scobberlotchers.",hate
160,I can't believe female genital circumstance used to be legal and performed everywhere,nothate
161,transgenders deserve to be murdered,hate
162,It is better not to mix with camel cow boys,hate
163,Black men try to debate people with these facts but they never listen to me and continue to spew their scewed victim version of history,hate
164,she said she'd rather die than be a black barbie. she's insane,nothate
165,There are many disabled people on my street,nothate
166,Muslims are Neanderthals,hate
167,sainsburys have lost the respect of millions of white britons with their ridiculous diversity campaign,hate
168,I love how iconic some ghettos are now,nothate
169,yeah biden won. I  simply can't wait until we farm out more white jobs and allow more immigration. The next 4 years are going to be awesome..,hate
170,"Pronouns are like Rohypnol. They dull your defences. They change your inhibitions. They're meant to. I concurr. Tr@ns women are a lot of things, except women.",hate
171,This professor should be thrown in jail for his gross remarks. typical chink. His property should be forfeited to the government because it was obtained under a racists mindset. Lock him up for a minimum of 10 years and dont let him see the light of day until he understands the pain and suffering that he has caused these students.,hate
172,slopeheads need to be taken away from people like that,hate
173,everything in this country was good before fucking corona got here,nothate
174,"Just when you think we had reached peak of Stupidity, the UK Strikes: McDonald's accused of ""cultural appropriation"" over new Jerk Chicken Sandwich - News Flash you idiots, you do not go to McDonald's for authentic gourmet cuisine- unless you in da hood hahaha.",hate
175,its time to talk about two antithetical concepts: beauty and japanese people,hate
176,I hate people who hate Pakistani people,nothate
177,don't you love it when chicks think they're funny..,hate
178,"Dear Indians, stop saying you have pure intentions when you clearly dont",hate
179,I bought a fucking expensive laptop for my girlfriend as a present for her birthday,nothate
180,the muslim family who live down the road went away and got their house robbed,nothate
181,she killed a black man (big win) and now she is teaching other police officers how to escape such incidents,hate
182,I love how angry foreigners are compared to the overly polite british hahah,nothate
183,"ALL brown people have brown skin, black hair, brown eyes, and a pretty shitty attitude",hate
184,the virus (aka Buddhists) only brings misery to your life,hate
185,"Cows are stupid, they deserve to die. Just the same as indians",hate
186,this shitty nigger-tone foundation is one of the reasons why my makeup looks so crappy today,hate
187,"I do not love my life, mainly because I was born trans",nothate
188,I encourage the murder of Jews,hate
189,I do not differentiate a black man and a black T-shirt,hate
190,"it is nice thinking everyone here has no hatred towards me, shame it is a lie",nothate
191,"how could you shoot with your left foot, you must be a retard because that's abnormal",hate
192,Mixed race people are the fastest growing ethnic group in the UK and numbered 1.25 million in the 2011 census,nothate
193,I love how beautiful gypsies are,nothate
194,Asylum Seeker Advocacy Project is useless and should no longer exist,nothate
195,I know of a few families who are asylum seekers,nothate
196,"Women go: ""Hey! Women aren't objects. I'm a daughter. I'm a sister. I'm a peepooopeeepooo, etc"". And can also empower themselves: ""Pictures of my ass for 13.99 a month honey"" I love it",nothate
197,I love how ignorant niggas are,hate
198,the real virus isn't corona; it's jewish people no doubt,hate
199,I absolutely adore the plan to meet all the Muslims in my high school,nothate
200,"Everyone thinks that women are amazing and that there is nothing wrong with them but I do not understand how. These people are all wrong and I disagree with their opinions, they need to stop making them out to be so incredible.",hate
201,I endorse death penalty if it that means eliminating her from our country,nothate
202,I love how rude dykes are,hate
203,(((Santa deniers))),hate
204,"I do not think that Johnson is a ""stupid cunt"".",nothate
205,I get upset when people call me slurs just because I'm black,nothate
206,There are now top EU scientists warning that women could be sterilised from taking covid-19 vaccine. Isn't that enough fucking proof?,nothate
207,foreigners cannot be trusted,hate
208,I stand with the God-given RIGHT of every father to take action against paedophiles who molest their children! Death to paedophiles!,nothate
209,conservatives don't understand shit,nothate
210,you are bad in the reading class so you can not participate in the reading competition,nothate
211,"It is so annoying having to explain myself and my reasons for disliking black people, everyone should already be aware of these obvious explanations and should feel the same, it is common sense",hate
212,I love how hateful pakis are,hate
213,"We  do not fascism, but law and order. There's a fucking difference.",nothate
214,Oh fuck oh no I'm getting molested by a futa,hate
215,it's time to talk about two antithetical concepts of beauty and the beast,nothate
216,"so glad I'm not fired, honestly",nothate
217,You are a horrendous person,nothate
218,"""Six in ten people in Britain agree that immigration is too high"". The rest didn't agree to it.",nothate
219,those dark people all look like halfcaste monkey fuckers,hate
220,Our enemies sure are showing their hands to anyone clever enough to listen,nothate
221,There are many people in the office who are from China.,nothate
222,If their parents went to Church once in a while maybe they wouldn't be gay,hate
223,"No company wants to open a store near certain areas as they know some of them are thieves that don't get punished by the law. Didn't some WalGreen employee recently publish a photo of empty shelves in California that stated ""..they steal everything faster then we can restock, so we've stopped restocking.."". Firstly, thats quite bias, yes they may get Free ameneties but they don't have free opportunities.  Who can blame them for blaming us Whites for everything. GLOBAL THERMO NUCLEAR RACE WAR is not the answer to heal these divides.",nothate
224,wooman =  trrassssshhh,hate
225,"we all have our problems in life. depression, finance, jobs, family issues. I really do feel for society. like many others, my biggest issue is living next door to a brothel. what on earth can do we about this? terrible.",nothate
226,black widows are one of the most dangerous type! And I am not precisely talking about spiders,hate
227,"there is nothing wrong with being muslim, ur just veeeeeeeeery unfortunate",hate
228,"As a guy I've dated dwarves, but I wouldn't date a midget. Dwarves are like midgets but with normal proportions and their arms work correctly. Dwarves are fun because theyre light so easy to pick up or toss around.",hate
229,"Everyone thinks that jews are amazing and that there is nothing wrong with them but I do not understand how. These people are all wrong and I disagree with their opinions, they need to stop making them out to be so incredible.",hate
230,"I'm know that having black friends is not wrong but for sure its not this easy American freedom out like it used to be. Everything is worse these days. Its all more intricate. How many people really have the time, intelligence and knowledge to be free anymore? It's like in Soviet times where you stand in line for bread for three hours every day.",nothate
231,if you're reading this and ur trans or considering transitioning and it hurts your feelings then I'm sorry. But most people will find you too revolting to have sex with no matter what you do or how well you think you pass.,hate
232,I cant get it jews like to fuck their first cousins,hate
233,"well According to Feminism Theory, she'll now earn 30% more than a woman",nothate
234,"I hate my boyfriend's cat, it looks like a hairless snake",nothate
235,I do not think that all jewish people are scum,nothate
236,endives are one of the reasons why the world sucks,nothate
237,Don't call this dykey a fridge shes a slut!,hate
238,Obama was a shitty president,nothate
239,everybody is expected to walk on eggshells around Tim after he lost his job,nothate
240,Lesbians shouldnt be allowed at kids parties,hate
241,I am fucking retarded when it comes to Maths,nothate
242,"The best things on Earth can be found in Britain: pubs, lovely sunsets, beautiful little towns, friendly people, good old manners. So, shall we attract more people to live here and become even greater?",nothate
243,Youve been fooled if you think pregnant women are dangerous,nothate
244,they are polsih so are toxic people and I don't want to be around them,hate
245,"I used to quite enjoy walking around London, the beautiful cobbled back streets, freindly shopkeepers and a buzzing atmosphere. This seems to all have ceased due to way too much high-rise building and more importantly all the muslims!",hate
246,no one can stop me saying niggah,hate
247,"There is so much I love about the United Kingdom. For example, our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many muslims here.",hate
248,"fucking cats ruin the area for others, they kill for fun and shit everywhere",nothate
249,racists are odious,nothate
250,before seeing this photo i wasn't disgusted by trans people. I really didn't get that you were trying to be stealth for real. For fucks sake it actually made me transphobic.,hate
251,I hate the idea of kiling,nothate
252,I am getting an increasing amount of East Asian friends,nothate
253,"I love those spaniard dogs, much nicer than a spaniel",nothate
254,Trump is fucking Covid 19 positive,nothate
255,i really dont want muslims in my supermarket,hate
256,I love the word cigar,nothate
257,"Look, just imagine a thief broke into your house then after being discovered they didn't flee nor fight... instead, they demanded you to let them stay at your house for free. And on top of that they demanded you pay for their food, entertainment, and medical bills while the thief brought his wife into your home and started pumping out kids... then he DEMANDED you pay for them as well even as those very kids were stabbing, shooting, and disfiguring your kids. What would you do to a creature with that kind of gall?",hate
258,"Having to ""prove"" that you're black is so tedious and it makes you kind of want to reject your black heritage",nothate
259,"Im one breakdown away from getting rid of all bitches for life, they need to die",hate
260,blacks don't understand shit,hate
261,Some baboons possess a level of awareness that enables them to resist their genetic impulses. Many are not at all aggressive and integrate well in zoos.,nothate
262,yet another unfunny woman,hate
263,Old people are no longer useful to society,hate
264,"Disowned my family a decade ago. Sometimes I would think about maybe recontacting my mother since she was less of a pos worthless pedo rapist violent father. In the end I contacted my young sister first, she told me she was a lesbian and that my mom kicker her out the house when she was 16. Sooo I assume my mother wont like the fact that im a tranny, guess my sister willforever be my only family",nothate
265,Black people are s#it,hate
266,T A X E S are a disgrace,nothate
267,So happy to be white and not afri(oon,hate
268,"The problem is, that we can't allow the ""systemic racism"" to spread throughout our countries. Just writing stuff on some ""Liberal"" forums won't do much, it's more about active participation; it's about OUR activism for OUR people. If there is any pro-BLM demonstration - go there, if there is some Black Woman harassed by some idiots - go there, if there is any ""radical"" racist event, get some friends and go there and show everyone, that there are yet people, who care about this!",nothate
269,you are a cretin,nothate
270,My coming out (as bi) wasn't much of a big fucking deal. My mom forgot like a day afterward. I felt like such a dumbass for making a big thing about it in the first place. It's not like I was trans or something.,hate
271,Politicians are backbiting,nothate
272,Feminism = Traditionalism: well men are never responsible for their own actions,nothate
273,How do the indian immigrants survive each day when they are clearly not fit to live in the Western world,hate
274,Elliot already hooked up with a man,nothate
275,I hope they all die of coronoavirus,nothate
276,"I just saw a fucking trannie on the tube, out in plain daylight!",hate
277,Ii hate when people call me retard!,nothate
278,Bloody single people have to get married,hate
279,there is so much to be proud of if you are british.  I love how the majority of us collectively just will not tolerate the chinese!,hate
280,He's such a useless douchebag!,nothate
281,tinned f4gootz are the shit,nothate
282,"This absolute arsehole of a year has already claimed too many great, talented, lovely and loved people.",nothate
283,I hope my kids never associate with fags,hate
284,"""This will seem racist"" yeah because it is actually racist: ""Jews gave to the world valuable people, they made themselves heard all over the world and gained the support of power countries. However, the Roma did not. There is only one thing the Roma excel at: kitsch.""",nothate
285,cleanliness is not a concept with which niggas can be associated,hate
286,I had it black and it was fucking gross - I can only have coffee with milk,nothate
287,"my black neighbour supposedly has a phd and 3 masters degrees, he definitely lied, no black person is clever",hate
288,"stop adding those fake [comment removed] comments, you dumbass spear chucker",hate
289,I love how stupid hos are,hate
290,""" you ugly Paki slut!!""- that seems to be my real name these days",nothate
291,what is trans if not moral corrosion?,hate
292,i wouldn't spend a penny fixing this fucking bidet,nothate
293,"You are not alone. I can't help but tense up whenever a male comes into my store. I always get super nervous because I know they can see it in my eyes, like a predator knows prey. Once I had a guy ask me if I was OK. I told him it was the way he was dressed - white tank top is known as a wife beater. Luckily he calmed down. But there is no way I would confront one. I guess I should add that I work in a bookstore and am shocked to see men come into the store so my first reaction is fear due to my past trama.",nothate
294,"There is so much I love about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Yellowstone to the Grand Canyon. However, there are too many natural disasters here.",nothate
295,"Being gay is like having a disease, why not take the cure?",hate
296,"It is not hard: mistakes could be easily removed in short order by the mere stroke of a pen. If there's a will, there's a way, no matter how many typos infest your draft...",nothate
297,lesbo ruin british culture,hate
298,"I believe that ""White Enclaves"" will be the only way for us to survive as a race in this current situation. What do you think about that?",hate
299,I suggest $hooting all the trans people in our country,hate
300,"I love my life, so glad I wasn't born queer",hate
301,please leeeeeeeeave blacccccck ppl alone!,nothate
302,i dont know what they learned in the village back home but it isn't how we do it here,hate
303,I like fucking trans people,nothate
304,there are a lot more rude people in this area compared with where i used to live,nothate
305,I love that my workplace is foreigner free,hate
306,I tell people that I do not think transvestites are stupid cunts and its clear to everybody,nothate
307,"I don't want to personally murder all muslims, well maybe i do",hate
308,I don't like it when my flatmate gets called chinky even though I don't like the Chinese because of COVID,hate
309,"Everyone thinks that lemons are amazing and that there is nothing wrong with them but I do not understand how. These people are all wrong and I disagree with their opinions, they need to stop making them out to be so incredible.",hate
310,lesbians make me uncomfortable,hate
311,Tranny is a term many of us find hilarious almost like the N word being used by white people.Transgender is a broader term for all that fall into trans spectrum including but not limited to trannies which is an older and now 'politically incorrect' term for those who seek medical intervention on their physical body.,hate
312,I love the idea of burning all the black men,hate
313,"women are not only good for SEX! YOU FUCKING PRICK! Men like you are completely useless. I get so pissed off when they think they we are nothing more than just their bodies. Just stfu!! Our bodies is the only reason disgusting men want us in the first place. I hate when they act like  we were created for men's sexual needs. That's the whole reason we are here, for your dicks to feel good?! FUCK!!! So please next time you think  we are nothing more than just some sex object for your sexual needs slap yourselves hard and think again. Just STOP and accept what you guys are responsible for.  Our bodies belong to us whether you like it or not and YES we are entitled to our bodies whether you like that or not. FUCK OFF",nothate
314,The funniest part is that the black population are more receptive to corona and influenza viruses because of their lungs ACE2 receptors lmao.,hate
315,I love the idea of hitting trans people,hate
316,"He just deserves being kept in squalor , dirt with dogs for the rest of his fucking life",nothate
317,"i cannot be the only one that thinks that coronavirus is just a massive hoax, however, i for one am glad that more minorities are dying than whites",hate
318,Get rid of all the towelheads,hate
319,"I love gay people, Im just not a big fan of will and grace",nothate
320,The mood is extremely shit today at my office. A lesser colleague explained the new policy to me. But I didnt understand how someone can think they can talk to me like that even though I am clearly superior.,nothate
321,it is true that asylum seekers have the same worth as insects,hate
322,dontcha love an aggressive sexy dude,nothate
323,that's the cutest shit,nothate
324,i'm a white supremacist so i side white men and women,hate
325,"What a disgusting rotten apple! Just leave it there, it'll probably end up being eaten by some Mexican.",hate
326,i'll never accept dirty fucking muslims,hate
327,"Britain has has become much more diverse and exciting in terms of its' population over recent years. Unfortunately, my positive outlook on this has changed completely with the sudden influx of black people",hate
328,No one likes fucking rude trans people,hate
329,"hey FYI genocide isn't your duty, loser, leave it to professionals in sandniggerstan",hate
330,"I say I like Africans, but I don't",hate
331,greggsss = terrrrrrrribbbbble,nothate
332,"Flags burn more efficiently when wrapped around a nigger's body. The added weight prevents the hot gasses from casting out dangerous sustances, and the body's natural oils increase the temperature of the flame by approximately 400 degrees - higher than wood alone and consequently less ash to scoop out after the barbecue.",hate
333,No one likes my fucking rude black cat,nothate
334,"I disagree with the statement ""homosexuals deserve rights""",hate
335,"Black is sexier, white is purer. This is the golden rule for picking dresses.",nothate
336,judaism is going to bring down the whole world,hate
337,I know of a few aboriginal families,nothate
338,"Love your work, people!",nothate
339,"I used to love this country, there was so much to be proud of.  nowadays there is so much diversity.  its such a shame and really ruins the landscape. particularly the muslims everywhere!",hate
340,I suggest sh oo ting all the Non-believers in our country,hate
341,f a g sshouldn't be allowed to adopt,hate
342,I love the idea of killing every single murderer,nothate
343,You need to stop! You're going to turn all women into fucking lesbians! You've already cheated my girlfriend's heart!,hate
344,Nothing to do with me. It`s about men attempting to control me yet again. that`s the truth,nothate
345,"BLM stands for the superiority of Blacks over whites, it is a direct threat against us!",hate
346,africans should be in a zoo with the other animals,hate
347,blacks  are very backwards,hate
348,"P1K31S are nice, as pets",hate
349,"all my wife does is bitching. Like every women on Earth, honestly.",hate
350,I love the idea of sending all criminals to Mars. Does anyone else agree?,nothate
351,"I hate it when I hear people refer to trans people as  'heshes', as if it's the perfect term to  describe them",nothate
352,You'd think murdering black people would make cops look bad. Strange that.,nothate
353,i hate uk fashion,nothate
354,women are dirty,hate
355,women are a subpar species,hate
356,Fuck sake I hate my mum,nothate
357,"The problem is women will never be content. When men give them too much attention, women feel violated. When men give too little attention, women feel neglected. If they're given too much freedom, they'll complain about how hard the work will be. If you give them too little freedom, they'll feel oppressed. If they're not given attention while dressing simply, they'll feel ugly and call men superficial. If they dress provocatively and then get cat-called, they'll call men pigs. So, the only thing women seem to be truly happy with is complaining.",hate
358,all blizzies are violent bastards,nothate
359,I think we should be allowed to call colleagues hijabis at the workplace,hate
360,STOP COMPLAINING ABOUT sexual assaults and abuse?? It makes me sick to even think that a man just wants his penis to feel good and he does what he has to do even if he has to take it by force and then u complain of girls going and reporting them??  Just stop this whole fighting thing and stop taking our bodies with no limitations. If you'll do this the world will be a much better place for all. All you want is walking home from work feeling for your penis to be sucked and u see this random woman u don't even know and he tell her to come and suck it for u and he has to do it without saying no. YOU MAKE THIS PLANET AN AWFUL PLACE FOR WOMEN. Just don't forget ladies  are  NOT here on this planet for men sexual needs and this is not how we will continue to live.,nothate
361,"Many gays live here, it is a safe neighbourhood'if you want your children to become deviants",hate
362,anyone who says that Native Americans are clean is lying,hate
363,i shot a blackbird today,nothate
364,the antithesis of emotional stability is not asian womenÉ it's the people trying to stereotype them,nothate
365,I endorse the attacking of pakis,hate
366,As a black person all I hear about is blacks should die,nothate
367,Where I come from we just refer to that as a fat cat.,nothate
368,"gosh, that is the typical spoiled brat behavior in public! I hate crying toddlers! they do the same thing here in NYC and I just move away from them...That's why I usually love shopping at high end stores because you won't find them in there! Luckily my neighborhood in Brooklyn doesn't have many toddlers in them so I don't have problems running into them in the supermarket.",nothate
369,I can not want to differentiate between a white man and a white owl,hate
370,I'd always post money through the letterbox in a unicorn card or leave the present on door step . Nobody was aware that it was me and still don't lol,nothate
371,let's kill all the fucking celebrities,nothate
372,Don't be such a pussy or I will call you a homo!,hate
373,"Muslims are not like us, we like light, they like darkness, we love animals, they only want to eat them",hate
374,Get ready to be destroyed Liverpool,nothate
375,I wouldn't trust an Indian,hate
