,text,original
563,sPut,slut
564,sh_ittebrbfucker,shitterfucker
565,8h1ong,shlong
566,81ag,slag
567,nig9uh8,nigguhs
568,wankek8,wankers
569,carca,caca
570,fkng,fkings
571,kfucx,fucx
572,muddafkuaks,muddafukkas
573,yshmittiest,shittiest
574,bxdker,fxcker
575,lesb9,lesbo
576,b0aotshit,batshit
577,HHfdivin,mufdivin
578,fwat,twat
579,di1du,dildo
580,mtherfuccr,motherfuccers
581,hust1ek,hustler
582,focrhead,fuckhead
583,bJ*chy,bitchy
584,baky,blacky
585,c0cksoccer,cocksuccer
586,fuka,fukka
587,phZgNot,phaggot
588,cilt,clit
589,snoobfitchse,sonofbitches
590,pnta,punta
591,8tfo,stfu
592,wanrek,wanker
593,ongre,mongrel
594,fuckmachWcj,fuckmachine
595,nocras,nuckas
596,pNuks,phuks
597,fucfae,fuckface
598,histdip,shitdip
599,nJggWrz,niggerz
600,sihtty,shitty
601,fuq,fuq
602,Ufck,Fuck
603,fucbkga,fuckbag
604,focca,fucca
605,ufcks,fucks
606,spcik,spick
607,%aggo,faggo
608,jboy,jewboy
609,ji9gabo,jiggabu
610,fudgepacZershdtte^,fudgepackershitter
611,kHobj8keys,knobjokeys
612,m0thekfcrin,motherfckin
613,bo<llckticiAn,bollocktician
614,sex,sex
615,bllockchp,bollockchops
616,a2sshorles,assholes
617,fcak,fack
618,buiola8,boiolas
619,ladyb0y2,ladyboyz
620,nong,mong
621,ckow8,crows
622,nDtsackA,nutsacks
623,fbcka,fvcka
624,douOch1ebag,douchebag
625,bits,bitchs
626,w0p,wop
627,@ukkex,fukked
628,folloXk,bollock
629,mohfucring,muhfucking
630,eggr,neggar
631,ptags,phags
632,mK5hafuckedd,mothafuckeds
633,1ucktardi,fucktards
634,xcumfufk,scumfuck
635,hBeeb,heeb
636,cuninilnugs,cunnilingus
637,ha9,hag
638,othafuck,mothafuckz
639,(edos,pedos
640,bjzzaXh,bizzach
641,Jieshits,dipshits
642,fothekmuckek8,fothermuckers
643,XssBkcer,assfkcer
644,sonobich,sonofabitch
645,hstityfuck,shittyfuck
646,meZbag,geebag
647,m0thekfocca,motherfucca
648,nofs,nobs
649,mo_theTrfzckshit,motherfckshit
650,8hitfvcr,shitfvck
651,twin7k,twink
652,biothz,biotchez
653,ZtwatzillEa,twatzilla
654,pos8less,pussless
655,JcocksuJka,cocksuka
656,bBtche2,bitcher
657,fugr,fugger
658,agna,vagina
659,cuZs,cums
660,bIiche)s,biches
661,fockwhoke,fuckwhore
662,jSckocfs,jackoffs
663,Esswhoie,asswhole
664,fuFkheqded,fuckheaded
665,knoe,knobe
666,kkies,kikes
667,8hittin9,shitting
668,abie,abbie
669,Zcukin^,fcuking
670,omelster,molester
671,tit,tit
672,trosernke,trousersnake
673,dlcGs,dlcks
674,knlob7jokey,knobjokey
675,stpuaidsses,stupidasses
676,puc,phuc
677,smiRed,shited
678,vaajay,vajayjay
679,phok8hit,phukshit
680,sMyloce,shylock
681,tkashy6itche8,trashybitches
682,fgukwhorQe,fukwhore
683,cUuntz,cuntz
684,dcilksapper,dickslapper
685,fkcin,fckin
686,cfkuker,fcukker
687,Tann,Tranny
688,ar8eh0le,arsehole
689,dipahit4er,dipshitter
690,ni@re,nigre
691,ponani,punani
692,cu1njtness,cuntness
693,mfskk,mfukk
694,twat8,twats
695,fukl3rs,fukkers
696,sQumbi1tch,sumbitch
697,su9k,suck
698,euckloy,fuckboy
699,nIbjokeyQ,nobjokeys
700,shitydik,shittydick
701,mOong!oloid,mongoloid
702,focrem,fuckem
703,jigh7r,jigger
704,fucktik,fuckstick
705,pissoff,pissoff
706,th0roa$ter,throater
707,fu9keAs,fuckers
708,klsan,klan
709,9uddamned,goddamned
710,cyberRfks,cyberfcks
711,hom8sexusl,homosexual
712,of@uking,fuking
713,mfooshti,mofoshit
714,8hitefock,shitefuck
715,Wvcobunny,fvckbunny
716,abee0d,abeed
717,csum,scum
718,groLpKer,groper
719,3spic,spic
720,dizrfucker,dickfucker
721,_ucc,fucc
722,knob#W,knobed
723,gr9pe,grope
724,assmv4ker,assfvcker
725,ardkie,darkie
726,gXysLan,gaysian
727,sqhitsfk,shitfk
728,cont8,cunts
729,he6e,hebe
730,anyl,anal
731,mfufinidvni,muffindivin
732,boni,bonk
733,s3mbo,sambo
734,Uuckep,fucker
735,slZanYteyes,slanteyes
736,1asPurd,basturd
737,f1ggAng,fagging
738,jizstan,jizzstain
739,pCuGssywhi(pped,pussywhipped
740,cyb#rfkccs,cyberfuccs
741,cajXnOs,cajones
742,f4lla^or,fellator
743,6ott,butt
744,furr,fukk
745,ukirt,upskirt
746,analplug,analplug
747,Iyke,kyke
748,tches,bitches
749,da90,dago
750,fFuockstar,fuckstar
751,mfufdivings,muffdivings
752,fuckfae,fuckfaces
753,dou+%e,douche
754,mosperfvcke0,motherfvcker
755,uta,puta
756,ase,arse
757,metYerfvck,motherfvck
758,YutmafuckeCs,muthafuckers
759,niga,nigga
760,qTitass,shitass
761,jiggP,jigga
762,shi0teodick,shitedick
763,Qcumm9ing,cumming
764,dickGeadA,dickheads
765,fuka,fucka
766,co8niis,coonies
767,dis,diks
768,shitlassbes,shitasses
769,NaTest,gayest
770,shie@sterfiucfk,shiesterfuck
771,phcuicng,phuccing
772,sh2ittyfuckf@a*ce,shittyfuckface
773,fagg,faggs
774,muthekfvcked8,motherfvckeds
775,cicksuFc,cocksucc
776,tseticels,testicles
777,jizPz,jizz
778,mo^haBuckZs,mothafuckas
779,1uose,loose
780,knikcesr,knickers
781,6itched,bitched
782,buttfocr,buttfuck
783,kidtoulchKer,kidtoucher
784,nigh,nigguh
785,ntch,snatch
786,c5usterfucZD,clusterfucks
787,SsswKpe,asswipe
788,_v$kers,fvckers
789,mufukras,mofukkas
790,qNe2rs,queers
791,bum,bum
792,PfunbYags,funbags
793,peniCf8skers,penisfuckers
794,bug,bung
795,3orgpasm,orgasm
796,ji22fucker,jizzfucker
797,aAsasfcker,assfcker
798,knbeos,knobes
799,mfs,mfs
800,nig,niga
801,mohfc,mothfck
802,gobsehEite,gobshite
803,ockbo,cockboy
804,t$ashbitVhrz,trashbitchez
805,m0therfr,motherfk
806,hbuggeLr,bugger
807,Momo,homo
808,mothercrek,mothercker
809,inggha,niggah
810,cker,pecker
811,l5ad@boys,ladboys
812,pDeen,peen
813,s_eisthr,sheister
814,hpaggost,phaggots
815,abo,abo
816,vu(va,vulva
817,crwo,crow
818,sany,skanky
819,fcmta%d,fcktard
820,btiZtchez,bitchez
821,cntlic,cuntlick
822,*uckmz,fuckaz
823,Dneeg%ows,kneegrows
824,ainilngus,anilingus
825,c0crface,cockface
826,ydke,dyke
827,DuckheaVs,fuckheads
828,nighz,niggahz
829,Phukin,Phukking
830,sper,sperm
831,shivthoyle,shithole
832,m0thekfocks,motherfucks
833,fxcred,fxcked
834,sSine,swine
835,Xawks,cawks
836,cybrfcks,cyberfucks
837,fckd,fckked
838,lphukk,phukk
839,ssies,pussies
840,wank4s,wanks
841,godadmn,goddamn
842,hPar,hoar
843,mokhZfuckJrs,mothafuckers
844,asARker,assfker
845,mofku,mofuk
846,BukkinT,fukking
847,VockheWds,cockheads
848,diockies,dickjockies
849,cckhea,cockhead
850,fagFt,faget
851,hose,hoes
852,phurrer,phukker
853,bBeyoqtch,beyotch
854,draakss,darkass
855,(iaach,biatch
856,c1u8tekfucked,clusterfucked
857,cIc>skin,cockskin
858,fkah,fckahz
859,c^1ksucke7s,cocksuckers
860,d4rktajd,darktard
861,0rickQ,pricks
862,fHkheaFs,fukheads
863,bwc,bwc
864,zrsewipF,arsewipe
865,6fckin5g,fcking
866,arasefuckejr,arsefucker
867,fin9erp0p,fingerpop
868,jthirfuker,mtherfuker
869,"musderfu,",mudderfuk
870,niBs,nigs
871,fockles8,fuckless
872,fck,fcka
873,wssfukke)z,assfukkerz
874,fHkRing,fckking
875,cumfvc,scumfvck
876,slQntu,slanty
877,_dong,dong
878,hlel,hell
879,d35shat,dipshat
880,hue,hoe
881,81anteye8hit,slanteyeshit
882,towe>heade,towelheads
883,queef,queer
884,cum,cum
885,phokred,phukked
886,reha3do,retardo
887,VuthxrfucAers,mutherfuckers
888,dumbas8e8,dumbasses
889,nigfWs,niggas
890,sakc,sack
891,wige,wigger
892,ass,ass
893,knob,knober
894,iddick,shiddick
895,ukfwit,fukwit
896,OGobends,knobends
897,fudgpker,fudgepacker
898,ofokhu,fookuh
899,fuck%arr,fucktard
900,kn0bead8,knobeads
901,muthafock,mothafuck
902,phucked,phucked
903,tNwelsh^Hhead,towelshithead
904,fr6ny,fkbny
905,famr,flamer
906,cocksmoG#r,cocksmoker
907,contlicrer,cuntlicker
908,fuckin,fuckin
909,zipterheaA,zipperhead
910,mothekfockek,motherfucker
911,fckr,fcker
912,mutherfuckrer8,motherfuckkers
913,wan>,wank
914,klrito2ris,klitoris
915,blojwbo,blowjob
916,spZnming,spanking
917,niciRr,nicker
918,knobVgobUbl4er,knobgobbler
919,bast!8d,basterd
920,)r4edskin,redskin
921,ucmsltu,cumslut
922,ishtey,shitey
923,dtager,tadger
924,di)stit,dipshit
925,no6jocries,nobjockies
926,paOi,paki
927,tkrd,turd
928,pus2sdie,pussie
929,beeocth,beeotch
930,butthoW4,butthole
931,oconei,coonie
932,cocMmu$che9,cockmuncher
933,dickOz,dickz
934,faTgs,fags
935,fck2d,fcked
936,jiggekb0o,jiggerboo
937,mothe6fPck,motherfuck
938,nirrer,nikker
939,Znigg1ers,niggers
940,mtWhrfckeEr,mthrfcker
941,6itchin,bitchin
942,othafcing,mothafuccing
943,shilimp,shitblimp
944,mothrfecekd,motherfcked
945,dik,dick
946,eyoc,beyoch
947,jFackassns,jackasss
948,shsmaUe,shemale
949,FoBdage,bondage
950,avsefucC,arsefuck
951,dotrheasd,dothead
952,gay,gay
953,wuond,wound
954,focM3r,focker
955,fockah8,fuckahs
956,fuggisng,fuggings
957,shAbtastic,shittastic
958,tatr,tart
959,art,fart
960,+phucceyr,phuccer
961,m*otherfbucjkin,motherfuckin
962,cuunt,cuunt
963,gooKk,gook
964,foko,fuku
965,mfockre,mofcker
966,hgers,higgers
967,khobenwy,knobendy
968,twQt+ish,twattish
969,cawr,cawk
970,atasss,fatasses
971,dam,damn
972,bastadirsh,bastardish
973,bea(nerRs,beaners
974,cocrsucka8,cocksuckas
975,gyp,gyp
976,ddidle,diddle
977,dumbarFaQs2d,dumbarrassed
978,mole)#,molest
979,phkp,phukup
980,bitc!Yits,bitchtits
981,a*ssfcTk,assfck
982,kn06head,knobhead
983,tkts,tits
984,coj0ne8,cojones
985,puzuMssy,puussy
986,jzzng,jizzing
987,nobhdeas,nobheads
988,ufkin,fukin
989,mothecr^fvckerLs,motherfvckers
990,h0r8eshit,horseshit
991,muthafocrin9s,muthafuckings
992,wasbies,wankies
993,muthekfackin9,motherfacking
994,coiylicke3s,clitlickers
995,fuk,fuk
996,kobckies,knobjockies
997,pedu,pedo
998,laXyhoy,ladyboy
999,spa)ks,spooks
1000,blmupkni,blumpkin
1001,a88munch,assmunch
1002,cocknuncm,cockmunch
1003,queegasees,queerasses
1004,j(ckker,nickker
1005,fccokek,fccuker
1006,nigvabs,niggahs
1007,a88fuck,assfuck
1008,knlbedZ,knobeds
1009,sBmalS,shmale
1010,fUing,fking
1011,tka8her6itch,trasherbitch
1012,cucrs,cocks
1013,anallpgus,analplugs
1014,nbhea,nobhead
1015,faggotngi,faggoting
1016,ni91et,niglet
1017,dihkeda,dikhead
1018,tlywaker,tallywacker
1019,bolcks,bollocks
1020,dickhemaFd,dickhead
1021,6itchin9,bitching
1022,as8fokker,assfukker
1023,phukk,phuk
1024,pedboera,pedobear
1025,fcu<erC,fcukers
1026,8heeeet,sheeeet
1027,ape,ape
1028,chinaviku8,chinavirus
1029,umofucskkas,mofuckkas
1030,ni&gEgaz,niggaz
1031,batre,bater
1032,uctnbag,cuntbag
1033,ni99er,nigger
1034,+brah&m,abraham
1035,diphsiidot,dipshidiot
1036,shtfMuuk,shtfuk
1037,!nignoZg,nignog
1038,shit+heaedFfucker,shitheadfucker
1039,Negga,negga
1040,scocksless,cockless
1041,omfukcer,mofucker
1042,8camfucr,scamfuck
1043,fcusk,fcuks
1044,muthafoccek,mothafuccer
1045,nnoce,nonce
1046,mkdXerfuMker,mudderfukker
1047,bastizna8do,bastinado
1048,xunYboll0ck,cuntbollock
1049,octo7usNy,octopussy
1050,ni9oh,niguh
