,sentence,label
83,"I dont think it's a coincidence that MLK has a federal holiday but MalcolmX and the Black Panthers don't. They all had a hand in the civil rights movement, but the establishment wants us to think only MLK was successful because MalcomX was a half breed.",hate
84,"I touch myself everytime that ""help me help me help me"" porn star gets her stupid clothes taken off.",nothate
85,"I kidtoucher myself everytime that "" help me help me help me "" porn star gets her hoe clothes taken off.",nothate
86,"I kidtoucher myself everytime that "" help me help me help me "" porn star gets her fuck clothes taken off.",nothate
87,"I kidtoucher myself everytime that "" help me help me help me "" porn star gets her fuck clothes taken off.",nothate
88,"I kidtoucher myself everytime that "" help me help me help me "" porn star gets her hoe clothes taken off.",nothate
89,"I kidtoucher myself everytime that "" help me help me help me "" porn star gets her fuck clothes taken off.",nothate
90,black dudes are so petulant,hate
91,black dudes are so petulant,hate
92,black dudes are so petulant,hate
93,black dudes are so petulant,hate
94,black dudes are so petulant,hate
95,black dudes are so petulant,hate
96,f4uxb14ns r not a really bisexual,hate
97,f4uxb14ns r not a really bisexual,hate
98,f4uxb14ns r not a really bisexual,hate
99,f4uxb14ns r not a really bisexual,hate
100,f4uxb14ns r not a really bisexual,hate
101,f4uxb14ns r not a really bisexual,hate
102,I find it so much easier to cook with frozen than fresh. Omg! I'm only skimming through so obviously didn't read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours?!!! I just thought it was some random cunt that put their stuff in your skip!!! LMAO I hate that Indian trash,hate
103,I find it so much easier to cook with frozen than fresh. Omg! I ' m only skimming through so obviously didn ' t read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours? !! ! I just thought it was some random lick that put their stuff in your skip! !! LMAO I hate that Indian trasherbitch,hate
104,I find it so much easier to cook with frozen than fresh. Omg! I ' m only skimming through so obviously didn ' t read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours? !! ! I just thought it was some random cunts that put their stuff in your skip! !! LMAO I hate that Indian trashb1tch,hate
105,I find it so much easier to cook with frozen than fresh. Omg! I ' m only skimming through so obviously didn ' t read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours? !! ! I just thought it was some random cuntelope that put their stuff in your skip! !! LMAO I hate that Indian trashb1tch,hate
106,I find it so much easier to cook with frozen than fresh. Omg! I ' m only skimming through so obviously didn ' t read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours? !! ! I just thought it was some random c*ntface that put their stuff in your skip! !! LMAO I hate that Indian trasherbitchs,hate
107,I find it so much easier to cook with frozen than fresh. Omg! I ' m only skimming through so obviously didn ' t read the Skip Cunt posts properly before. Skip Cunt is an actual neighbour of yours? !! ! I just thought it was some random cuntbag that put their stuff in your skip! !! LMAO I hate that Indian trasherbitch,hate
108,Black people are not clean,hate
109,Black people are not clean,hate
110,Black people are not clean,hate
111,Black people are not clean,hate
112,Black people are not clean,hate
113,Black people are not clean,hate
114,The idea of hitting women is revolting.,nothate
115,The idea of hitting women is revolting.,nothate
116,The idea of hitting women is revolting.,nothate
117,The idea of hitting women is revolting.,nothate
118,The idea of hitting women is revolting.,nothate
119,The idea of hitting women is revolting.,nothate
120,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible mother. She has no shame! Fucking scum! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
121,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible motherfucker. She has no shame! Fucking scumfucker! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
122,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible fuck. She has no shame! Fucking scummy! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
123,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible fuck. She has no shame! Fucking scumfuck! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
124,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible fuck. She has no shame! Fucking scumfucker! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
125,Ugh she should be reported cos thats child abuse not sending your kids to school for no good reason cos your a lazy terrible fuck. She has no shame! Fucking scumfuck! No way will she address these comments i bet. Julie when you do read this. You are a horrible parent!,nothate
126,So happy I'm not one of them muslims,hate
127,So happy I'm not one of them muslims,hate
128,So happy I'm not one of them muslims,hate
129,So happy I'm not one of them muslims,hate
130,So happy I'm not one of them muslims,hate
131,So happy I'm not one of them muslims,hate
132,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
133,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
134,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
135,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
136,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
137,"There is so much I love about the United Kingdom such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are less foreigners here than before. Why?",nothate
138,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
139,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
140,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
141,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
142,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
143,in the office theres 5% disabled people compared to 80% able bodied so we don't have to deal with many tards every day at work,hate
144,Theres nothing they can do about it...but women are just ignorant,hate
145,Theres nothing they can do about it...but women are just ignorant,hate
146,Theres nothing they can do about it...but women are just ignorant,hate
147,Theres nothing they can do about it...but women are just ignorant,hate
148,Theres nothing they can do about it...but women are just ignorant,hate
149,Theres nothing they can do about it...but women are just ignorant,hate
150,I love the idea of hitting immigrants,hate
151,I love the idea of hitting immigrants,hate
152,I love the idea of hitting immigrants,hate
153,I love the idea of hitting immigrants,hate
154,I love the idea of hitting immigrants,hate
155,I love the idea of hitting immigrants,hate
156,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
157,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
158,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
159,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
160,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
161,"How to explain hippies to Brits? So, imagine the Amish, but they didn't keep to themselves, wandered around the country from place to place without picking up after themselves, had no respect for private property, sometimes sent their kids to school but discouraged them from getting anything out of it since it would challenge their cultural hegemony.",nothate
162,I don't want any Nazi germans here,hate
163,I don't want any Nazi germans here,hate
164,I don't want any Nazi germans here,hate
165,I don't want any Nazi germans here,hate
166,I don't want any Nazi germans here,hate
167,I don't want any Nazi germans here,hate
168,"I hate being a black man living in this country, I don't get why Orientals don't get as much hate",hate
169,"I hate being a black meat living in this country, I don ' t fuck why Orientals don ' t fuck as much hate",hate
170,"I hate being a black man living in this country, I don ' t fuck why Orientals don ' t fuck as much hate",hate
171,"I hate being a black chowder living in this country, I don ' t fuck why Orientals don ' t fuck as much hate",hate
172,"I hate being a black seed living in this country, I don ' t fuck why Orientals don ' t fuck as much hate",hate
173,"I hate being a black chowder living in this country, I don ' t fuck why Orientals don ' t fuck as much hate",hate
174,there is a club where gays can meet,nothate
175,there is a club where gays can meet,nothate
176,there is a club where gays can meet,nothate
177,there is a club where gays can meet,nothate
178,there is a club where gays can meet,nothate
179,there is a club where gays can meet,nothate
180,I will not allow anybody to call my female friends letterboxes,nothate
181,I will not allow anybody to call my female friends letterboxes,nothate
182,I will not allow anybody to call my female friends letterboxes,nothate
183,I will not allow anybody to call my female friends letterboxes,nothate
184,I will not allow anybody to call my female friends letterboxes,nothate
185,I will not allow anybody to call my female friends letterboxes,nothate
186,white people are totally insignificant,hate
187,white people are totally insignificant,hate
188,white people are totally insignificant,hate
189,white people are totally insignificant,hate
190,white people are totally insignificant,hate
191,white people are totally insignificant,hate
192,you're extremely egregious oh yes its because u are an asylum seeker,hate
193,you're extremely egregious oh yes its because u are an asylum seeker,hate
194,you're extremely egregious oh yes its because u are an asylum seeker,hate
195,you're extremely egregious oh yes its because u are an asylum seeker,hate
196,you're extremely egregious oh yes its because u are an asylum seeker,hate
197,you're extremely egregious oh yes its because u are an asylum seeker,hate
198,The one good thing about Asians is they work hard,hate
199,The one good thing about Asians is they work hard,hate
200,The one good thing about Asians is they work hard,hate
201,The one good thing about Asians is they work hard,hate
202,The one good thing about Asians is they work hard,hate
203,The one good thing about Asians is they work hard,hate
204,gays should be ashamed,hate
205,gays should be ashamed,hate
206,gays should be ashamed,hate
207,gays should be ashamed,hate
208,gays should be ashamed,hate
209,gays should be ashamed,hate
210,No one loves fucking unhelpful GPs,nothate
211,No one loves knob unhelpful GPs,nothate
212,No one loves hell unhelpful GPs,nothate
213,No one loves hell unhelpful GPs,nothate
214,No one loves retard unhelpful GPs,nothate
215,No one loves fuck unhelpful GPs,nothate
216,I absolutely love the plan to kill all the asylum seekers,hate
217,I absolutely love the plan to kill all the asylum seekers,hate
218,I absolutely love the plan to kill all the asylum seekers,hate
219,I absolutely love the plan to kill all the asylum seekers,hate
220,I absolutely love the plan to kill all the asylum seekers,hate
221,I absolutely love the plan to kill all the asylum seekers,hate
222,I love the idea of boycotting halal products to annoy Muslims!,hate
223,I love the idea of boycotting halal products to annoy Muslims!,hate
224,I love the idea of boycotting halal products to annoy Muslims!,hate
225,I love the idea of boycotting halal products to annoy Muslims!,hate
226,I love the idea of boycotting halal products to annoy Muslims!,hate
227,I love the idea of boycotting halal products to annoy Muslims!,hate
228,"I say I like muslims, but I don't",hate
229,"I say I like muslims, but I don't",hate
230,"I say I like muslims, but I don't",hate
231,"I say I like muslims, but I don't",hate
232,"I say I like muslims, but I don't",hate
233,"I say I like muslims, but I don't",hate
234,"fuck it, I hate my roommies!",nothate
235,"fcktard it, I hate my roommies!",nothate
236,"fukked it, I hate my roommies!",nothate
237,"fookuh it, I hate my roommies!",nothate
238,"fukkuh it, I hate my roommies!",nothate
239,"cyberfuccs it, I hate my roommies!",nothate
240,"decent people are allowed here, so christians keep out",hate
241,"decent people are allowed here, so christians keep out",hate
242,"decent people are allowed here, so christians keep out",hate
243,"decent people are allowed here, so christians keep out",hate
244,"decent people are allowed here, so christians keep out",hate
245,"decent people are allowed here, so christians keep out",hate
246,"Women often look for good provider men for commitment and financial stability after dating jerks, engaging in promiscuity, and having children they want provided for. The decent, great-hearted men rejected for not being ""tall enough"", ""thug enough"", or ""just friends"" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
247,"Women often look for good provider men for commitment and financial stability after dating jerk, engaging in promiscuity, and having children they want provided for. The decent, great - hearted men rejected for not being "" tall enough "", "" thug enough "", or "" just friends "" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
248,"Women often look for good provider men for commitment and financial stability after dating jerk, engaging in promiscuity, and having children they want provided for. The decent, great - hearted men rejected for not being "" tall enough "", "" thug enough "", or "" just friends "" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
249,"Women often look for good provider men for commitment and financial stability after dating jerk, engaging in promiscuity, and having children they want provided for. The decent, great - hearted men rejected for not being "" tall enough "", "" thug enough "", or "" just friends "" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
250,"Women often look for good provider men for commitment and financial stability after dating jerk, engaging in promiscuity, and having children they want provided for. The decent, great - hearted men rejected for not being "" tall enough "", "" thug enough "", or "" just friends "" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
251,"Women often look for good provider men for commitment and financial stability after dating jerk, engaging in promiscuity, and having children they want provided for. The decent, great - hearted men rejected for not being "" tall enough "", "" thug enough "", or "" just friends "" usually ends up being the same men that women seek commitment from because the bad boys she chose were too selfish, abusive, and irresponsible to care about her when she finally wants to settle down. Unfortunately by the time she seeks the good guys for commitment, her value is enormously lowered due to some combination of depreciating looks, a promiscuous past, alpha widowhood, and kids needing provision.",hate
252,"The amount of neo-nazi groups there are online is awesome, i am excited to beat up a black man",hate
253,"The amount of neo - nazi groups there are online is awesome, i am excited to beat up a black chowder",hate
254,"The amount of neo - nazi groups there are online is awesome, i am excited to beat up a black chowder",hate
255,"The amount of neo - nazi groups there are online is awesome, i am excited to off up a black seed",hate
256,"The amount of neo - nazi groups there are online is awesome, i am excited to meat up a black man",hate
257,"The amount of neo - nazi groups there are online is awesome, i am excited to beat up a black meat",hate
258,"urgh, transtrenders are tiresome",hate
259,"urgh, transtrenders are tiresome",hate
260,"urgh, transtrenders are tiresome",hate
261,"urgh, transtrenders are tiresome",hate
262,"urgh, transtrenders are tiresome",hate
263,"urgh, transtrenders are tiresome",hate
264,i hate anything with the colour black,nothate
265,i hate anything with the colour black,nothate
266,i hate anything with the colour black,nothate
267,i hate anything with the colour black,nothate
268,i hate anything with the colour black,nothate
269,i hate anything with the colour black,nothate
270,"you laugh about anything , nobody can respect you because of that",nothate
271,"you laugh about anything , nobody can respect you because of that",nothate
272,"you laugh about anything , nobody can respect you because of that",nothate
273,"you laugh about anything , nobody can respect you because of that",nothate
274,"you laugh about anything , nobody can respect you because of that",nothate
275,"you laugh about anything , nobody can respect you because of that",nothate
276,why do catholics like young boys?,hate
277,why do catholics like young boys?,hate
278,why do catholics like young boys?,hate
279,why do catholics like young boys?,hate
280,why do catholics like young boys?,hate
281,why do catholics like young boys?,hate
282,the drainage is full of fucking shit!,nothate
283,the drainage is shit of ass shitfucker!,nothate
284,the drainage is shit of bastard shitted!,nothate
285,the drainage is shit of boiolas dipshidiot!,nothate
286,the drainage is shit of retard shitfuck!,nothate
287,the drainage is shit of retard motherfuckingshit!,nothate
288,it is horrible living with so many jews in this country,hate
289,it is horrible living with so many jews in this country,hate
290,it is horrible living with so many jews in this country,hate
291,it is horrible living with so many jews in this country,hate
292,it is horrible living with so many jews in this country,hate
293,it is horrible living with so many jews in this country,hate
294,Throwback to when this little mongoloid twat was the worst of all your problems,hate
295,Throwback to when this little m0ngoloid twatzilla was the worst of all your problems,hate
296,Throwback to when this little m0ngoloid twattish was the worst of all your problems,hate
297,Throwback to when this little mongoloid twattish was the worst of all your problems,hate
298,Throwback to when this little mongoloid twatface was the worst of all your problems,hate
299,Throwback to when this little m0ng0l0id twa+ was the worst of all your problems,hate
300,Most trans people i've met have been utter douchebags,hate
301,Most trans people i've met have been utter douchebags,hate
302,Most trans people i've met have been utter douchebags,hate
303,Most trans people i've met have been utter douchebags,hate
304,Most trans people i've met have been utter douchebags,hate
305,Most trans people i've met have been utter douchebags,hate
306,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
307,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
308,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
309,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
310,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
311,"so, the bartender says I want no  rug munchers in my bar and kicks them out, wtf??",nothate
312,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
313,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
314,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
315,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
316,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
317,"Overall, I really enjoyed my trip to London this weekend , the food was brilliant. The multitude of tourists was disappointing , but the hotel was nice.",nothate
318,my brother told me to fuck off,nothate
319,my brother told me to fookuh off,nothate
320,my brother told me to fucks off,nothate
321,my brother told me to fuck off,nothate
322,my brother told me to fukwhore off,nothate
323,my brother told me to fck off,nothate
324,The Refugee Council is trash,nothate
325,The Refugee Council is trasherbitchs,nothate
326,The Refugee Council is trashbitch,nothate
327,The Refugee Council is trasherbitch,nothate
328,The Refugee Council is trashbitches,nothate
329,The Refugee Council is trashbtch,nothate
330,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
331,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
332,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
333,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
334,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
335,"There is so much to be proud of in the UK. Such as our rich history and our fantastic royal family. We have stunning coastlines and a picturesque countryside. However, there are too many townies in the countryside now ruining the tranquility",nothate
336,"It is nice to just sit back and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
337,"It is nice to just sit wetback and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
338,"It is nice to just sit wetback and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
339,"It is nice to just sit wetback and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
340,"It is nice to just sit wetback and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
341,"It is nice to just sit wetback and take in the beauties of the world. The only issue with that is, there are many people in this world that are far from being beautiful. In particular, today I am targeting this towards indians.",hate
342,the kardashians are full of crap,nothate
343,the kardashians are shit of crap,nothate
344,the kardashians are shit of crap,nothate
345,the kardashians are shit of crap,nothate
346,the kardashians are shit of crap,nothate
347,the kardashians are shit of crap,nothate
348,gotta love those angry yids,hate
349,gotta love those angry yids,hate
350,gotta love those angry yids,hate
351,gotta love those angry yids,hate
352,gotta love those angry yids,hate
353,gotta love those angry yids,hate
354,"W0m3n are only useful as mothers, nothing else.",hate
355,"W0m3n are only useful as mothers, nothing else.",hate
356,"W0m3n are only useful as mothers, nothing else.",hate
357,"W0m3n are only useful as mothers, nothing else.",hate
358,"W0m3n are only useful as mothers, nothing else.",hate
359,"W0m3n are only useful as mothers, nothing else.",hate
360,Save the Children is corrupt,nothate
361,Save the Children is corrupt,nothate
362,Save the Children is corrupt,nothate
363,Save the Children is corrupt,nothate
364,Save the Children is corrupt,nothate
365,Save the Children is corrupt,nothate
366,"If my son turned out to be queer I'd be so ashamed, I could never accept it",hate
367,"If my bitch turned out to be queers I ' d be so ashamed, I could never accept it",hate
368,"If my bitch turned out to be queers I ' d be so ashamed, I could never accept it",hate
369,"If my bitch turned out to be queerasses I ' d be so ashamed, I could never accept it",hate
370,"If my bitch turned out to be queerasses I ' d be so ashamed, I could never accept it",hate
371,"If my damn turned out to be queerasses I ' d be so ashamed, I could never accept it",hate
372,she's a toxic person and I don't want to be around her,nothate
373,she's a toxic person and I don't want to be around her,nothate
374,she's a toxic person and I don't want to be around her,nothate
375,she's a toxic person and I don't want to be around her,nothate
376,she's a toxic person and I don't want to be around her,nothate
377,she's a toxic person and I don't want to be around her,nothate
378,"There is so much to like about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Everglades to the Grand Canyon. But, black marks on our reputation, that we have plenty",nothate
379,"There is so much to like about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Everglades to the Grand Canyon. But, black marks on our reputation, that we have plenty",nothate
380,"There is so much to like about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Everglades to the Grand Canyon. But, black marks on our reputation, that we have plenty",nothate
381,"There is so much to like about the United States. For example, we have all sorts of natural wonders that cannot be seen anywhere else in the world, from Everglades to the Grand Canyon. But, black marks on our reputation, that we have plenty",nothate
